"License Number","License Type","Name of Program","AddressLine1","AddressLine2","AddressLine3","City","State","Zip","County","Phone","License Status","License Holder","Capacity","Type Of License","Restrictions","Services","Licensing Authority","Initial Effective Date","Current Effective Date","Expiration Date","License Holder Lives Onsite","EmailAddress",
"1086983","Child Care Center","1st Lutheran Preschool and Extended Day Program","925 13th St E","","","Glencoe","MN","55336-1543","McLeod","(320) 864-3317","Active","First Evangelical Lutheran of Glencoe","20 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","08/28/2018","01/01/2026","12/31/2026","   ","",
"1080082","Child Care Center","2nd Home Childcare LLC","2600 26th Ave S Ste 300","","","Minneapolis","MN","55406-4504","Hennepin","(612) 814-1531","Active","2nd Home Childcare LLC","104","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of preschool in the School Age 1 classrooms is 14.; Maximum number of preschool in the School Age 2 classrooms is 17.; Maximum number of preschool in the School Age 3 classrooms is 29.; Maximum number of preschool in the School Age 4 classr","Services: Day Program","Minnesota Department of Human Services","05/25/2016","12/01/2025","12/31/2026","   ","",
"1108608","Child Care Center","3Rs Early Childhood Learning Center","4900 85th Ave N","","","Minneapolis","MN","55443     ","Hennepin","(763) 315-5006","Active","Premier MN Brooklyn Park LLC","176","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","05/24/2021","01/01/2026","12/31/2026","   ","",
"800003","Child Care Center","A Child's Delight Too, Inc.","200 Western Ave NW Ste A2","","","Faribault","MN","55021     ","Rice","(507) 332-2264","Active","A Child's Delight Too, Inc.","94 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","05/01/1980","01/01/2026","12/31/2026","   ","",
"1096017","Child Care Center","A Child's Place Daycare Center","3738 7th Ave","","","Anoka","MN","55303-1465","Anoka","(763) 710-7662","Conditional as of 12/02/2024","A Child's Place Daycare Center LLC","70 ","Ages Served: Infants Toddlers Preschool School-Age","Conditional License from 12/2/2024 though 12/1/2026.","Services: Day Program","Minnesota Department of Human Services","01/14/2019","01/01/2026","12/31/2026","   ","",
"1112619","Child Care Center","A New Hope Preschool & ECE Program","955 Wildwood Rd","","","White Bear Lake","MN","55115     ","Washington","(651) 770-6192","Active","A New Hope Family Child Care Limited Liability Company","78 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","07/18/2022","01/01/2026","12/31/2026","   ","",
"1097992","Child Care Center","A Plus Universal Child Care and Learning Center","1208 Shakopee Town Sq","","","Shakopee","MN","55379     ","Scott","(952) 236-7460","Pending Reopening as of 04/30/2026","A Plus Universal Child Care and Learning Center LLC","113","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","07/01/2019","01/01/2026","12/31/2026","   ","",
"1105095","Child Care Center","Aaron Child Care Inc.","2500 Minnehaha Ave Ste 100","","","Minneapolis","MN","55404     ","Hennepin","(612) 886-2557","Active","Aaron Child Care Inc.","133","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","11/10/2020","03/31/2026","12/31/2026","   ","",
"1052797","Child Care Center","AB Bohlman Inc dba Little Red Wagon","901 Main St S","","","Cambridge","MN","55008-2125","Isanti","(763) 689-2567","Active","AB Bohlman, Inc.","73 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","01/05/2009","01/01/2026","12/31/2026","   ","",
"1101850","Child Care Center","AB.SEE Preschool & Early Learning Center","300 Park St W","","","Cannon Falls","MN","55009-2429","Goodhue","(507) 757-1110","Active","AB.SEE Preschool & Early Learning Center LLC","42 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","06/29/2020","01/01/2026","12/31/2026","   ","",
"1112247","Child Care Center","ABC Academy","160 3rd Ave W","","","Foley","MN","56329-4534","Benton","","Active","ABC Academy LLC","61 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","08/29/2022","01/01/2026","12/31/2026","   ","",
"800020","Child Care Center","ABC Express","6820 Saint Patricks Ln","","","Edina","MN","55439-1631","Hennepin","(952) 999-0101","Active","ABC Express, Inc.","91 ","Ages Served: Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","08/20/1985","01/01/2026","12/31/2026","   ","",
"1095850","Child Care Center","ABC Learning Center Inc","2533 24th Ave S","","","Minneapolis","MN","55406     ","Hennepin","(612) 432-2452","Active","ABC Learning Center Inc","40 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","05/01/2019","01/01/2026","12/31/2026","   ","",
"1051591","Child Care Center","Abiding Branches Cooperative Preschool","7330 Lake Dr","","","Lino Lakes","MN","55014     ","Anoka","","Active","Abiding Branches Cooperative Preschool","20 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/08/2008","01/01/2026","12/31/2026","   ","",
"800025","Child Care Center","Abiding Savior Lutheran Preschool","8211 Red Oak Dr","","","Saint Paul","MN","55112-5928","Ramsey","(763) 784-5326","Active","Abiding Savior Lutheran Church","35 ","Ages Served: Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","02/23/1967","01/01/2026","12/31/2026","   ","",
"2001653","Child Care Center","Abyan Childcare Center LLC","3416 Nicollet Ave","","","Minneapolis","MN","55408     ","Hennepin","(612) 200-8631","Active","Abyan Childcare Center LLC","74 ","Ages Served: Infant;Toddler;Preschool;School Age","None","Services: Day Program","Minnesota Department of Human Services","09/30/2025","11/19/2025","12/31/2026","   ","",
"1116169","Child Care Center","Acacia Montessori","14119 Galaxie Ave","","","Apple Valley","MN","55124-8565","Dakota","(952) 236-9740","Active","Acacia Montessori","29 ","Ages Served: Preschool","Per building inspector, no more than 29 children in care until sprinkler system installed.","Services: Day Program","Minnesota Department of Human Services","01/02/2023","01/01/2026","12/31/2026","   ","",
"1050327","Child Care Center","Acorn Academy of Oak Haven Church","1555 Constance Blvd NE","","","Ham Lake","MN","55304-5635","Anoka","(763) 413-9037","Active","Oak Haven Church","90 ","Ages Served: Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","05/29/2008","01/01/2026","12/31/2026","   ","",
"1093196","Child Care Center","Active Child Care Center, Inc","2000 Plymouth Ave N","","","Minneapolis","MN","55411-3713","Hennepin","(612) 353-4453","Active","Active Child Care Center Inc.","111","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","09/24/2018","01/01/2026","12/31/2026","   ","",
"1098257","Child Care Center","Afton View Child Care Center","363 Winthrop St S","","","Saint Paul","MN","55119-5336","Ramsey","(651) 797-6010","Active","My Four & No More LLC","52 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","04/15/2019","01/01/2026","12/31/2026","   ","",
